ID,Customer.Code,Sentimental.Score,text
89,15001160,0,RT @AJOKERONJACK: @StayHomeAmerica @WFB_Fraud @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @CathyPe…
90,15000660,3,"RT @VeryRedBike: @BankofAmerica @NMAAHC Switch to a credit union, better rates, more reasonable fees, better service, not lending your mone…"
91,15001208,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
92,15004113,0,RT @BeyondTheBantr: @Jordano36201496 @musser_benson @BankofAmerica Pathetic Bank of America
93,15001271,-1,@BankofAmerica @khanacademy You anti-civil rights hacks will never get my business!
94,15002485,0,RT @germanito006: Need access to my money and @BankofAmerica blocked my card for no reason. Called and approx wait time was 11m. I was on h…
95,15002719,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
96,15006168,0,RT @musser_benson: @Legalator @StayHomeAmerica @WFB_Fraud @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
97,15009756,0,RT @Theghanagroup: 1.  @BankofAmerica #TotalFail #BOA is asking clients to give their App Full location rights so they are able to see wher…
98,15006827,0,"RT @k9_save: 90,000 SUPPORTERS <U+0001F436><U+0001F1FA><U+0001F1F8><U+0001F64C><U+0001F3FB><U+0001F43E><U+0001F64F><U+0001F3FB> Time to #bringmattiehome #savek9mattie #Veterans @MSA_Security @PWPartners1 @TheGarden @BankofAmeri…"
99,15002461,0,RT @christinesneyer: @k9_save @MSA_Security @PWPartners1 @TheGarden @BankofAmerica @barclayscenter @PANYNJ @CushWakeNYC @CushWake @Sept11Me…
100,15004008,-1,@nytimes Potential story for you. Scamster exploiting loophole in the cheque system of @BankofAmerica  and @Chase .… https://t.co/PYW72h8dB2
101,15000155,0,@SenaKwawu @BankofAmerica I used to do the same in their App but they don’t allow that anymore. I guess I will star… https://t.co/FlyxoKH6E6
102,15004245,0,"RT @LeoDiCaprio: Thank you @JFW, @BankofAmerica, and @TiffanyAndCo for celebrating @dicapriofdn’s 20th Anniversary and for your continued s…"
103,15006816,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
104,15006247,0,@StayHomeAmerica @WFB_Fraud @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957… https://t.co/b3ikKkft3G
105,15002995,0,RT @StayHomeAmerica: @WFB_Fraud @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
106,15008521,0,@Jordano36201496 @musser_benson @BankofAmerica Pathetic Bank of America
107,15006816,-1,"@Enterprise committed fraud, placed an unauthorized charged on my card. Will call @BankofAmerica tomorrow."
108,15009527,0,Give a man a gun and he will rob a bank. Give a man a bank and he will rob the world. @jpmorgan @BankofAmerica… https://t.co/H4xbMyX7RB
109,15000487,-1,We will hold @pfizer @verizon @BankofAmerica responsible for facilitating Israel's criminal acts. https://t.co/Ksun4NgfI3
110,15009339,-1,"Been on hold with @BankofAmerica for 45 friggin minutes, transferred three times and still haven't talked to anyone… https://t.co/6uzpudQk8Z"
